icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,climb_rate,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
C750,CNJ,Cessna,750 Citation X,L2J,M,51000,,,112,528,536,,,,5.85,22.04,48.96,19.39,,,7371,3460,,10038,,,,16600,,
C77R,,Cessna,177RG Cardinal,L1P,L,,,,65,,,,,,,,,,,,,,,,,,,,,
C82R,,Cessna,R182 Skylane RG,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
C82S,,Cessna,T182 Turbo Skylane,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
C82T,,Cessna,TR182 Turbo Skylane RG,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
C97,,Boeing,C-97 Stratofreighter,L4P,M,35000,,,105,260,326,,,,11.66,33.63,161.10,43.05,,,,3700,5010,37421,54431,,,79379,,
CAW,,Cessna,Model A,L1P,L,7005,,,,87,100,,,,2.24,7.23,20.60,12.36,,,160,,,566,1031,,,,,
CDC6,,Cessna,DC-6,L1P,L,,,,,110,135,,,,2.34,8.59,24.90,14.63,,,,520,,,,,,,,
CL2P,,Canadair,CL-215,A2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
CL2T,,Canadair,CL-215T,A2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
CL30,,Bombardier,Challenger 300,L2J,M,45000,,,117,459,470,,,,6.20,20.92,48.50,19.46,,,8023,3100,,10659,,15309,17532,17463,11839,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima080
CL35,,Bombardier,Challenger 350,L2J,M,45000,,,,459,477,,,,6.10,20.92,48.50,21.00,,,8023,3200,,11249,,15309,17532,17463,11839,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima080
CL60,CCJ,Bombardier,Challenger 600,L2J,M,41000,,,125,461,490,,,,6.30,20.90,45.40,19.60,,,11340,4000,,12315,,,,18643,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima023
CMAS,,Cessna,Airmaster,L1P,L,18900,,,,124,141,,,,2.21,7.57,17.00,10.31,,,130,480,,590,1007,,,,,
CN35,,Airbus Defence and Space,CN235,L2T,M,25000,,1780,160,248,,,,,8.18,21.40,59.10,25.81,,,,2350,,9800,,16500,,16500,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa186
CNBR,,English Electric,Canberra,L2J,M,48000,,3400,,,500,,,,4.78,19.96,89.00,19.51,,,,700,2940,9820,20865,,,24948,,
CNGP,,Cessna,NGP,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
COL3,,Cessna,350,L1P,L,18000,,1500,78,,191,,,,2.74,7.67,13.10,11.00,,,,1300,,1043,,,,1542,,
COL4,,Cessna,400,L1P,L,25000,,,78,235,235,,,,2.74,7.67,13.10,11.00,,,,1107,,1134,,,,1633,,
CONI,L49,Lockheed,C-121 Constellation,L4P,M,24442,,,,282,290,,,,6.83,29.01,153.00,37.00,,,,,,27776,,,,48534,,
CRJ1,CR1,Bombardier,CRJ-100,L2J,M,41000,,,140,424,,,2.69,2.69,6.22,26.77,48.35,21.21,,,8081,1650,,13835,,21319,23247,23133,19958,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima673
CRJ2,CR2,Bombardier,CRJ-200,L2J,M,41000,,,140,424,,,2.69,2.69,6.22,26.77,48.35,21.21,,,8081,1700,,13835,,21319,23247,23133,19958,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima673
CRJ7,CR7,Bombardier,CRJ-700,L2J,M,41000,,,135,447,473,,2.70,2.70,7.60,32.30,70.60,23.20,,,11110,1378,,20069,,30391,33113,32999,28260,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima673
CRJ9,CR9,Bombardier,CRJ-900,L2J,M,41000,,,,447,470,,2.70,2.70,7.50,36.20,71.10,24.90,,,11110,1553,,21845,,33339,36628,36514,31751,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima673
CRJX,CRK,Bombardier,CRJ-1000,L2J,M,41000,,,,447,470,,2.70,2.70,7.50,39.10,77.40,26.20,,,11028,1622,,23188,,36968,41050,40823,35153,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima673
CRUZ,,Czech Sport Aircraft,SportCruiser,L1P,L,,,830,,93,120,138,,,2.32,6.62,12.30,8.60,,,114,515,,388,600,,,,,
CUB2,,Aces High,Cuby 2,L1P,L,,,700,,,86,,,,1.77,5.56,15.00,10.21,,,,124,,188,480,,,,,
D11,,Jodel,D.11,L1P,L,16000,,790,,105,112,,,,2.07,6.50,12.70,8.22,,,116,630,,345,600,,,,,
D228,D28,Dornier,Do 228,L2T,L,25000,,,,223,,,,,4.86,16.56,32.00,16.97,,,2356,214,1276,3900,,,,6575,,
D28D,,Dornier,Do 28D Skyservant,L2P,L,25200,,1050,,130,175,,,,3.90,11.41,29.00,15.55,,,893,1590,,2304,,,,4015,,
D28T,,Dornier,Do 28 Turbo Skyservant,L2T,L,,,,,,,,,,,,,,,,,,,,,,,,,
D328,D38,Dornier,Do 328-100,L2T,M,31000,,,,330,,,,,7.05,21.23,40.00,20.98,,,,1000,,9100,,,,13990,,
DC10,D10,McDonnell Douglas,DC-10,L3J,H,42000,,,138,473,507,,,,17.53,55.55,330.00,47.35,,,82376,3500,,108940,,,,195045,,
DC2,,Douglas,DC-2,L2P,M,22450,,1000,,170,180,,,,4.97,18.89,87.20,25.91,,,,870,,5628,8419,,,,,
DC3,D3F,Douglas,DC-3,L2P,M,23200,,1130,77,180,200,,,,5.16,19.70,91.70,29.00,,,3736,1370,,7650,11431,,,,,
DC3S,,Douglas,Super DC-3,L2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
DC3T,,Douglas,DC-3 (turbine),L2T,M,,,,77,,,,,,,,,,,,,,,,,,,,,
DC4,,Douglas,DC-4,L4P,M,,,,94,197,240,,,,8.38,28.60,136.00,35.81,,,10860,2900,3690,19641,28803,,,33112,,
DC6,D6F,Douglas,DC-6,L4P,M,,,,108,,,,,,,,,,,,,,,,,,,,,
DC7,,Douglas,DC-7,L4P,M,21700,,,110,301,353,,,,9.65,34.21,152.10,38.86,,,29620,4897,,35780,,49000,,64864,,
DC85,D8T,McDonnell Douglas,DC-8-50,L4J,H,,,,137,483,,,,3.73,,45.90,,43.40,,,88600,5310,,56600,,,,142900,,
DC86,D8L,McDonnell Douglas,DC-8-60,L4J,H,,,,,483,,,,3.73,,45.90,,43.40,,,88600,5855,,56600,,,,142900,,
DC87,D8Q,McDonnell Douglas,DC-8-70,L4J,H,,,,,483,,,,3.73,,57.10,,43.40,,,88600,3200,,69000,,,,147400,,
DC91,D91,McDonnell Douglas,DC-9-10,L2J,M,35000,,,132,,484,,,,8.40,31.82,,27.25,,,14029,1300,,22300,,,,41141,,
DC92,D92,McDonnell Douglas,DC-9-20,L2J,M,35000,,,126,,484,,,,8.40,31.82,,28.44,,,13976,1500,,23879,,,,45359,,
DC93,D93,McDonnell Douglas,DC-9-30,L2J,M,35000,,,132,,484,,,,8.50,36.36,,28.44,,,13976,1500,,25789,,,,48988,,
DC94,D94,McDonnell Douglas,DC-9-40,L2J,M,35000,,,132,,484,,,,8.70,38.28,,28.44,,,13976,1200,,27821,,,,51710,,
DC95,D95,McDonnell Douglas,DC-9-50,L2J,M,35000,,,132,,484,,,,8.80,40.72,,28.45,,,13976,1300,,29336,,,,54885,,
DH2T,,De Havilland Canada,DHC-2 Turbo Beaver,L1T,L,18000,,1020,,124,137,,,,2.74,9.22,23.20,14.63,,,,395,,1361,2313,,,,,
DH3T,,De Havilland Canada,DHC-3 Turbo Otter,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
DH60,,De Havilland,DH-60 Moth,L1P,L,14500,,500,,74,89,,,,2.68,7.29,22.60,9.14,,,,280,,417,,,,748,,
DH80,,De Havilland,DH-80 Puss Moth,L1P,L,17500,,630,,,111,,,,2.13,7.62,20.60,11.20,,,,260,,574,930,,,,,
DH82,,De Havilland,DH-82 Tiger Moth,L1P,L,13600,,673,,58,95,,,,2.67,7.29,22.20,8.94,,,86,262,,506,828,,,,,
DH83,,De Havilland,DH-83 Fox Moth,L1P,L,12700,,450,,79,92,,,,2.68,7.85,24.29,9.41,,,,369,,486,,,,907,,
DH84,,De Havilland,DH-84 Dragon,L2P,L,,,,,,,,,,,,,,,,,,,,,,,,,
DH85,,De Havilland,DH-85 Leopard Moth,L1P,L,21500,,550,,103,119,,,,2.67,7.47,19.10,11.43,,,,621,,585,,,,1009,,
DH87,,De Havilland,DH-87 Hornet Moth,L1P,L,14800,,690,,91,108,,,,2.01,7.61,22.71,9.73,,,159,540,,563,885,,,,,
DH88,,De Havilland,DH-88 Comet,L2P,L,19000,,900,,190,206,,,,3.00,8.80,19.74,13.00,,,,2542,,1329,,,,2517,,
DH89,,De Havilland,DH-89 Dragon Rapide,L2P,L,16700,,867,,115,136,,,,3.12,10.52,31.20,14.63,,,346,483,,1465,2495,,,,,
DH8A,DH1,De Havilland Canada,DHC-8-100 Dash 8,L2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
DH8B,DH2,De Havilland Canada,DHC-8-200 Dash 8,L2T,M,25000,,,,289,,,,,7.49,22.25,54.40,25.89,,,3160,1125,,10477,,,,16466,,
DH8C,DH3,De Havilland Canada,DHC-8-300 Dash 8,L2T,M,25000,,,,287,,,,,7.49,25.70,56.20,27.40,,,3160,924,,11793,,,,19505,,
DH8D,DH4,De Havilland Canada,DHC-8-400 Dash 8,L2T,M,27000,,,,300,,,,,8.40,32.80,64.00,28.40,,,6526,1100,,17819,,,,30481,,
DH90,,De Havilland,DH-90 Dragonfly,L2P,L,18100,,875,,,125,,,,2.79,9.65,23.80,13.11,,,,543,780,1134,1814,,,,,
DH94,,De Havilland,DH-94 Moth Minor,L1P,L,16500,,620,,87,103,,,,1.93,7.44,15.10,11.15,,,,260,,446,,,,703,,
DHA3,,De Havilland Canada,DHA-3 Drover,L3P,L,15200,,1000,,125,167,,,,2.97,11.02,30.20,17.00,,,,470,,2080,,2948,,2948,,
DHC1,,De Havilland Canada,DHC-1 Chipmunk,L1P,L,15800,,900,,90,120,,,,2.16,7.75,16.00,10.46,,,,225,,688,914,,,998,,
DHC2,,De Havilland Canada,DHC-2 Beaver,L1P,L,18000,,1020,,124,137,,,,2.74,9.22,23.20,14.63,,,,395,,1361,2313,,,,,
DHC3,,De Havilland Canada,DHC-3 Otter,L1P,L,18800,,735,,138,160,,,,3.84,12.75,34.80,17.68,,,809,830,,1863,3629,,,,,
DHC4,,De Havilland Canada,DHC-4 Caribou,L2P,M,24800,,1355,,158,187,208,,,9.68,22.12,84.70,29.15,,,3100,1136,,8283,,12927,,12927,12247,
DHC5,,De Havilland Canada,DHC-5 Buffalo,L2T,M,31000,,1820,,227,,,,,8.74,24.08,87.80,29.26,,,7980,600,1770,11412,,,,22317,,
DHC6,,De Havilland Canada,DHC-6 Twin Otter,L2T,L,25000,,1600,,182,,,,,5.94,15.77,39.00,19.81,,,1466,,799,3221,,,,5670,,
DHC7,DH7,De Havilland Canada,DHC-7 Dash 7,L4T,M,25000,,1120,,,231,,,,7.98,24.58,80.00,28.35,,,,690,,12560,,,,19958,,
DO27,,Dornier,Do 27,L1P,L,18000,,,35,111,130,,,,4.18,10.08,19.40,12.00,,,220,470,,985,1570,,,,,
DO28,,Dornier,Do 28,L2P,L,25200,,1050,,130,175,,,,3.90,11.41,29.00,15.55,,,893,1590,,2304,,,,4015,,
DOVE,,De Havilland,DH-104 Dove,L2P,L,21700,,1135,,162,200,,,,4.06,11.96,31.10,17.37,,,764,760,,2869,,3856,,4060,,
E110,EMB,Embraer,EMB-110 Bandeirante,L2T,L,21490,,1640,92,222,,,,,4.92,15.10,29.10,15.33,,,1720,1060,,3590,,,,5900,,
E120,EM2,Embraer,EMB-120 Brasilia,L2T,M,,,,113,298,328,,,,6.35,20.00,39.40,19.78,,,,940,,7070,,11250,,11500,,
E121,,Embraer,EMB-121 Xingu,L2T,L,28000,,1800,99,205,252,,,,4.84,12.25,27.50,14.05,,,1635,660,,3710,,,,5670,,
E135,ERD,Embraer,ERJ-135,L2J,M,37000,,,124,450,,,,,6.76,26.33,51.18,20.04,,,5624,1750,,11501,,,,20000,,
E145,ER4,Embraer,ERJ-145,L2J,M,37000,,,124,461,,,,,6.76,29.87,51.18,20.04,,,,,,,,,,,,
E170,E70,Embraer,E170,L2J,M,41000,,,124,430,470,,,,9.85,29.90,72.72,26.00,,,11670,2150,,21141,,,,38600,,
E190,E90,Embraer,E190,L2J,M,41000,,,124,447,470,,,,10.57,36.24,92.53,28.72,,,16210,2450,,27837,,,,51800,,
E195,E95,Embraer,E195,L2J,M,41000,,,,447,470,,,,10.55,38.65,92.53,28.72,,,16210,2300,,28667,,,,52290,,
E2,,Grumman,E-2 Hawkeye,L2T,M,34700,,,,256,350,,,,5.58,17.60,65.00,24.56,,,,,1462,18234,19535,,,26082,,
E290,290,Embraer,E190-E2,L2J,M,41000,,,,450,,,,,10.95,36.24,103.00,35.12,,,16875,2850,,33000,,,,56400,,
E295,295,Embraer,E195-E2,L2J,M,41000,,,,450,,,,,10.90,41.50,103.00,35.12,,,17113,2655,,35700,,,,61500,,
E314,,Embraer,EMB-314 Super Tucano,L1T,L,35000,,3230,104,280,320,,,,3.97,11.38,19.40,11.14,,,,300,1542,3200,,,,5400,,
E350,,Cessna,E350,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
E35L,ER3,Embraer,EMB-135BJ Legacy 600,L2J,M,41000,,,124,448,459,,,,6.76,26.33,,21.17,,,10303,3400,,13645,,,,22500,,
E3CF,,Boeing,E-3 Sentry (CFM56 engines),L4J,H,,,,,,,,,,,,,,,,,,,,,,,,,
E3TF,,Boeing,E-3 Sentry (TF33 engines),L4J,H,29000,,,,310,461,,,,12.60,46.61,283.00,44.42,,,,4000,,83915,156036,,,157397,,
E45X,,Embraer,ERJ-145XR,L2J,M,37000,,,124,461,,,,,6.76,29.87,51.18,20.04,,,7466,2000,,12591,,,,24100,,
E50P,EP1,Embraer,EMB-500 Phenom 100,L2J,L,41000,,,100,400,,,,,4.35,12.82,,12.30,,,1590,1178,,3275,,,,4800,,
E530,,Cessna,E530,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
E545,,Embraer,EMB-545 Legacy 450,L2J,M,45000,,,,462,476,,,,6.43,19.69,44.85,19.25,,,6203,2900,,10425,,,,16220,,
E550,,Embraer,EMB-550 Legacy 500,L2J,M,45000,,,,466,476,,,,6.44,20.74,44.85,19.25,,,7400,3125,,10750,,,,17400,,
E55P,EP3,Embraer,EMB-505 Phenom 300,L2J,M,45000,,,116,,450,,,,5.00,15.90,,16.20,,,3035,2010,,,,,,8150,,
E6,,Boeing,E-6 Mercury,L4J,H,40000,,,,455,530,,,,12.93,46.61,26.33,45.16,,,,6600,,79378,,,,155129,,
E737,,Boeing,E-7A Wedgetail,L2J,M,41000,,,,460,,,,,12.50,33.60,91.00,35.80,,,,3500,,46606,,,,77600,,
E75L,E7W,Embraer,E175 (Long wings),L2J,M,41000,,,,430,470,,,,9.86,31.68,,28.65,,,11675,2200,,21890,,,,40370,,
E75S,E7W,Embraer,E175 (Short wings),L2J,M,41000,,,,430,470,,,,9.86,31.68,72.72,26.00,,,11675,2200,,21890,,,,40370,,
E767,,Boeing,E-767,L2J,H,40100,,,,460,493,,,,15.80,48.50,,47.60,,,,5600,,85595,128870,,,175000,,
EC20,,Airbus Helicopters,H120 Colibri,H1T,L,16990,,1200,,122,,150,,1.50,3.40,11.52,,,78.54,10.00,416,393,,960,,,,1715,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar508
EC25,,Airbus Helicopters,H225,H2T,M,19400,,1710,,140,149,175,,3.96,4.97,19.50,,,206.15,16.20,,463,,5256,11000,,,11200,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar002
EC30,,Airbus Helicopters,H130,H1T,L,23000,,1800,,130,,155,,2.03,3.34,10.68,,,89.75,10.69,540,330,,1377,,,,2500,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar008
EC35,,Airbus Helicopters,H135,H2T,L,20000,,1500,,137,,155,,1.56,3.51,10.20,,,81.70,10.20,,343,,1455,,,,2980,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar009
EC45,,Airbus Helicopters,H145,H2T,L,17190,,1590,,133,,145,,1.85,3.45,13.03,,,95.00,11.00,900,370,462,1792,3585,,,3800,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar010
EC55,,Airbus Helicopters,H155,H2T,L,15000,,1750,,,,175,,3.48,4.35,14.30,,,124.70,12.60,,463,532,2618,4950,,,4920,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar105
EC75,,Airbus Helicopters,H175,H2T,L,20000,,3600,,160,170,,,3.35,5.34,15.68,,,172.00,14.80,2710,680,,4603,7500,,,7800,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar150
EFAN,,Airbus,E-Fan,L2E,L,,,,,86,120,,,,,6.67,,9.50,,,,,,,,,,550,,
EH10,,AgustaWestland,AW101 Merlin,H3T,M,15010,,,,150,,167,,,6.62,19.53,,,271.51,18.59,,450,,10500,,,,14600,,
ERCO,,ERCO,Ercoupe,L1P,L,13000,,550,55,83,96,125,,,1.80,6.32,13.25,9.14,,,,,,,,,,,,
EUFI,,Eurofighter,Typhoon,L2J,M,65000,,62000,,,1147,,,,5.28,15.96,51.20,10.95,,,6215,1600,2050,11000,16000,,,23500,,
EXPL,,MD Helicopters,MD-900 Explorer,H2T,L,17500,,1000,,134,,140,,,3.66,9.86,,,83.54,10.31,,293,,1531,,,,2835,,
F104,,Lockheed,F-104 Starfighter,L1J,M,50000,,48000,,,1328,,,,4.11,16.66,18.22,6.63,,,,,1420,6350,,,,13166,,
F111,,Grumman,EF-111A Raven,L2J,M,45000,,11000,,,1270,,,,6.10,23.17,61.07,19.20,,,,1740,3300,25072,31751,,,40370,,
F117,,Lockheed,F-117 Nighthawk,L2J,M,45000,,,,,594,,,,3.78,20.09,72.00,13.21,,,,930,,13381,,,,23814,,
F14,,Grumman,F-14 Tomcat,L2J,M,53000,,45000,,,1342,,,,4.90,19.13,52.50,19.55,,,9150,1600,,19838,27669,,,33725,,
F15,,McDonnell Douglas,F-15 Eagle,L2J,M,65000,,67050,,,1434,,,,5.64,19.43,56.50,13.06,,,7600,,3000,12701,20185,,,30844,,
F156,,Fieseler,Fi 156 Storch,L1P,L,15090,,905,,70,95,,,,3.05,9.91,26.00,14.25,,,,210,,930,1324,,,,,
F16,,General Dynamics,F-16 Fighting Falcon,L1J,M,60000,,72000,,,1145,,,,4.90,15.06,28.00,9.96,,,3985,,2277,8573,12020,,,19187,,
F16X,,General Dynamics,F-16XL Fighting Falcon,L1J,M,50000,,62000,,520,1200,,,,5.36,16.51,60.00,10.44,,,,2480,,9980,21800,,,21800,,
F18H,,McDonnell Douglas,F/A-18 Hornet,L2J,M,50000,,50000,,570,1034,,,,4.70,17.10,38.00,12.30,,,6140,1089,1800,10433,16769,,,23541,,
F18S,,Boeing,F/A-18E/F Super Hornet,L2J,M,50000,,44882,,,1030,,,,4.88,18.31,46.50,13.62,,,8300,1275,1800,14552,21320,,,29937,,
F22,,Lockheed Martin,F-22 Raptor,L2J,M,65000,,,,,1303,,,,5.08,18.92,78.04,13.56,,,10211,1600,1740,19700,29410,,,38000,,
F2TH,D20,Dassault,Falcon 2000,L2J,M,50900,,,105,460,493,,,,7.06,20.23,49.00,19.33,,,6865,3250,,9405,,,,,,
F35,,Lockheed Martin,F-35A Lightning II,L1J,M,50000,,,,,1042,,,,4.40,15.70,43.00,11.00,,,10308,1500,,13290,22471,,,31751,,
F3F,,Grumman,F3F,L1P,L,33200,,2800,,130,229,,,,2.84,7.06,24.15,9.75,,,,850,,1490,,,,2175,,
F4,,McDonnell Douglas,F-4 Phantom II,L2J,M,60000,,41300,,510,1280,,,,5.00,19.20,49.20,11.70,,,7550,,1457,13757,18824,16706,,28030,,
F406,,Cessna,F406 Caravan II,L2T,L,30000,,1850,,140,229,,,,4.01,11.89,23.48,15.09,,,,1153,,2283,4246,,,,,
F5,,Northrop,F-5,L2J,M,51800,,34500,,566,939,710,,,4.08,14.69,17.30,8.13,,,2560,481,2010,4347,7142,,,11192,,
F9F,,Grumman,F9F Panther,L1J,L,42800,,5090,,418,503,,,,3.73,11.84,23.00,11.58,,,,1100,,4603,8492,,,,,
FA5X,,Dassault,Falcon 5X,L2J,M,51000,,,,,516,,,,7.50,25.20,72.40,25.90,,,,5200,,18144,,,,31570,,
FA7X,DF7,Dassault,Falcon 7X,L3J,M,51000,,,104,459,516,,,,7.83,23.38,70.70,26.21,,,18110,5950,,16601,,,,31751,,
FA8X,,Dassault,Falcon 8X,L3J,M,51000,,,,459,516,,,,7.84,24.46,70.70,26.29,,,19788,6450,,16375,,,,33113,,
G159,GRS,Grumman,G-159 Gulfstream I,L2T,M,33600,,1900,111,302,,,,,6.93,19.43,56.70,23.93,,,5867,2210,,9934,,15241,,15921,11871,
G164,,Grumman,G-164 Ag Cat,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
G21,,Grumman,G-21 Goose,A2P,L,21300,,1100,,166,175,,,,4.93,11.73,34.80,14.94,,,,560,,2461,1649,,,3629,,
G44,,Grumman,G-44 Widgeon,A2P,L,14600,,700,,120,133,,,,3.48,9.47,22.80,12.19,,,,800,,1470,2053,,,,,
G64T,,Grumman,G-164 Turbo Ag Cat,L1T,L,,,,,,113,136,,,3.68,8.41,36.48,12.92,,,,172,,1429,,,,3184,,
G73,,Grumman,G-73 Mallard,A2P,L,24500,,1350,,157,187,187,,,5.72,14.70,,20.30,,,,1120,,3969,6350,,,6350,,
G73T,,Grumman,G-73T Turbo Mallard,A2T,L,24500,,1350,,157,187,187,,,5.72,14.70,,20.30,,,,1120,,3969,6350,,,6350,,
G96,,Grumman,G-96/C-1 Trader,L2P,M,24800,,1950,,145,240,,,,4.97,13.00,45.10,21.23,,,,960,,7544,10447,,,11158,,
G97,,Grumman,G-97 Spotter,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
GA7,,Gulfstream American,GA-7 Cougar,L2P,L,17400,,1150,82,160,168,188,,,3.15,8.74,17.10,11.23,,,,1170,,1165,1724,,,,,
GL5T,,Bombardier,Global 5000,L2J,M,51000,,,108,487,,,,,7.80,29.50,94.80,28.70,,,22255,5200,,23070,,35652,42071,41957,26308,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima009
GL7T,,Bombardier,Global 7000,L2J,M,51000,,,,487,530,,,,8.20,33.88,,31.70,,,29203,7700,,27987,,39735,52208,52095,30617,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima009
GLEX,CCX,Bombardier,Global Express,L2J,M,51000,,,108,487,,,,,7.80,30.30,94.80,28.70,,,25543,6000,,23691,,35652,45246,45132,26308,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima009
GLF2,,Grumman,G-1159 Gulfstream II,L2J,M,45000,,3800,125,,,,,,7.47,24.36,86.83,23.72,,,16046,3550,,17735,29710,26535,,30935,19051,
GLID,,Generic,Glider,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYRO,,Generic,Ultralight autogyro,,,,,,,,,,,,,,,,,,,,,,,,,,,
H160,,Airbus Helicopters,H160,H2T,L,19350,,1750,,155,175,,,3.54,4.91,13.96,,,141.03,13.40,,460,,4240,,,,6050,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar516
H25B,H25,British Aerospace,BAe 125-700,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
H25C,H25,British Aerospace,BAe 125-1000,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
H269,,Hughes,269/TH-55 Osage,H1P,L,13000,,1140,,70,76,76,,,2.50,8.81,,,46.70,7.71,110,260,,435,703,,,757,,
H46,,Boeing,CH-46 Sea Knight,H2T,M,17000,,1715,,143,144,,,,5.11,13.67,,,364.83,15.00,1300,550,600,7047,11022,,,11022,,
H47,,Boeing,CH-47 Chinook,H2T,M,20000,,1522,,160,170,,,3.78,5.77,30.00,,,520.00,18.00,,400,1216,11148,,,,22680,,
H500,,MD Helicopters,MD-500,H1T,L,18700,,2070,,135,152,,,,2.67,9.93,,,54.58,8.33,,232,,722,,,,1610,,
H53,,Sikorsky,CH-53 Sea Stallion,H2T,M,16750,,2460,,150,170,,,5.00,,,,,380.73,22.02,,540,886,10717,15195,,,19051,,
H53S,,Sikorsky,CH-53E Super Stallion,H3T,M,18500,,2500,,120,150,150,,,8.43,30.19,,,460.00,24.08,,540,990,15071,,,,33339,,
H60,,Sikorsky,H-60,H2T,M,19000,,1646,,152,159,193,,2.36,5.13,19.76,,,210.00,16.36,,320,1200,5675,,,,9979,,
H64,,Boeing,AH-64 Apache,H2T,M,20000,,,,143,158,197,,,3.87,17.73,,,177.31,14.63,,257,1024,5165,8006,,,10433,,
HAR,,McDonnell Douglas,AV-8B Harrier II,L1J,M,,,14700,,,585,,,,3.55,14.12,22.61,9.25,,,,1200,1800,6340,10410,,,14100,,
HAWK,,British Aerospace,Hawk,L1J,M,44500,,9300,,,555,,,,3.98,12.43,16.70,9.94,,,,1360,,4480,,,,9100,,
HCAT,,Grumman,F6F Hellcat,L1P,L,37300,,2600,,,340,,,,3.99,10.24,31.00,13.06,,,946,,1330,4190,5714,,,6992,,
HERN,,De Havilland,DH-114 Heron,L4P,L,18500,,1140,,159,,,,,4.75,14.78,46.40,21.79,,,1870,795,,3697,,,,6123,,
HRNT,,Australian Aircraft Kits,Hornet,L1P,L,,,,46,,,,,,,,,,,,,,,,,,,,,
HUCO,,Bell,AH-1 HueyCobra,H1T,L,11400,,1230,,,149,190,,,4.11,13.50,,,141.00,13.40,,310,,2635,,,,4309,,
IPAN,,Embraer,EMB 200 Ipanema,L1P,L,11380,,930,65,115,120,147,,,2.20,7.43,19.94,11.69,,,264,506,,1020,,,,1800,,
J2,,Piper,J-2 Cub,L1P,L,12000,,450,,61,76,,,,2.03,6.83,16.58,10.73,,,34,180,,255,440,,,,,
J3,,Piper,J-3 Cub,L1P,L,11500,,450,43,65,76,,,,2.03,6.83,16.58,10.74,,,,191,,345,,,,550,,
J328,,Dornier,Do 328-300,L2J,M,,,,,400,,,,,,,,,,,,,,,,,,,,
J4,,Piper,J-4 Cub Coupe,L1P,L,15000,,600,,80,87,,,,2.08,6.86,,11.02,,,,,,,590,,,,,
J5,,Piper,J-5 Cub Cruiser,L1P,L,10200,,460,,75,83,,,,2.08,6.86,,10.82,,,,370,,376,658,,,,,
