"airline","picture","source","author_name","author_profile","license"
"ADO","airlines_pictures/ADO.jpg","https://www.flickr.com/photos/ajw1970/49045690101/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"AEA","airlines_pictures/AEA.jpg","https://www.flickr.com/photos/ajw1970/27188864746/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"AEE","airlines_pictures/AEE.jpg","https://www.flickr.com/photos/riikkeary/49630478127/","Riik@mctr","https://www.flickr.com/photos/riikkeary/","CC-BY-SA-2.0"
"AEG","airlines_pictures/AEG.jpg","https://www.flickr.com/photos/130961247@N06/33695458621/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"AFE","airlines_pictures/AFE.jpg","https://www.flickr.com/photos/aero_icarus/5057339476/","Aero Icarus","https://www.flickr.com/photos/aero_icarus/","CC-BY-SA-2.0"
"AFG","airlines_pictures/AFG.jpg","https://www.flickr.com/photos/aero_icarus/8487745044/","Aero Icarus","https://www.flickr.com/photos/aero_icarus/","CC-BY-SA-2.0"
"AFL","airlines_pictures/AFL.jpg","https://www.flickr.com/photos/101181388@N07/26749142647/","Jevgenijs Slihto","https://www.flickr.com/photos/101181388@N07/","CC-BY-2.0"
"AFR","airlines_pictures/AFR.jpg","https://www.flickr.com/photos/ajw1970/49740322732/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"AGU","airlines_pictures/AGU.jpg","https://www.flickr.com/photos/129575161@N05/19804493014/","Masakatsu Ukon","https://www.flickr.com/photos/129575161@N05/","CC-BY-SA-2.0"
"AGV","airlines_pictures/AGV.jpg","https://www.flickr.com/photos/erestor0404/5522571056/","Patrick Bürgler","https://www.flickr.com/photos/erestor0404/","CC-BY-SA-2.0"
"AHF","airlines_pictures/AHF.jpg","https://www.flickr.com/photos/dandawson/3819667360/","Dan Dawson","https://www.flickr.com/photos/dandawson/","CC-BY-2.0"
"AHK","airlines_pictures/AHK.jpg","https://www.flickr.com/photos/129575161@N05/25460617453/","Masakatsu Ukon","https://www.flickr.com/photos/129575161@N05/","CC-BY-SA-2.0"
"AHX","airlines_pictures/AHX.jpg","https://www.flickr.com/photos/115391424@N05/25195777673/","lasta29","https://www.flickr.com/photos/115391424@N05/","CC-BY-2.0"
"AHY","airlines_pictures/AHY.jpg","https://www.flickr.com/photos/130961247@N06/30182379541/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"AIB","airlines_pictures/AIB.jpg","https://www.flickr.com/photos/bribri/28858044414/","BriYYZ","https://www.flickr.com/photos/bribri/","CC-BY-SA-2.0"
"AIC","airlines_pictures/AIC.jpg","https://www.flickr.com/photos/marvin-mutz/48803255427/","Marvin Mutz","https://www.flickr.com/photos/marvin-mutz/","CC-BY-SA-2.0"
"AIE","airlines_pictures/AIE.jpg","https://www.flickr.com/photos/bribri/25977845782/","BriYYZ","https://www.flickr.com/photos/bribri/","CC-BY-SA-2.0"
"AIH","airlines_pictures/AIH.jpg","https://www.flickr.com/photos/byeangel/16465974796/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"AIJ","airlines_pictures/AIJ.jpg","https://www.flickr.com/photos/superjetinternational/9016187590/","SuperJet International","https://www.flickr.com/photos/superjetinternational/","CC-BY-SA-2.0"
"AIZ","airlines_pictures/AIZ.jpg","https://www.flickr.com/photos/aero_icarus/4272095543/","Aero Icarus","https://www.flickr.com/photos/aero_icarus/","CC-BY-SA-2.0"
"AJI","airlines_pictures/AJI.jpg","https://www.flickr.com/photos/airlines470/16964330758/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"AJT","airlines_pictures/AJT.jpg","https://www.flickr.com/photos/airlines470/49884273756/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"AKF","airlines_pictures/AKF.jpg","https://www.flickr.com/photos/awilson154/44397507881/","Alec Wilson","https://www.flickr.com/photos/awilson154/","CC-BY-SA-2.0"
"AKX","airlines_pictures/AKX.jpg","https://www.flickr.com/photos/ajw1970/46994251994/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"ALK","airlines_pictures/ALK.jpg","https://www.flickr.com/photos/129575161@N05/16709648763/","Masakatsu Ukon","https://www.flickr.com/photos/129575161@N05/","CC-BY-SA-2.0"
"AMC","airlines_pictures/AMC.jpg","https://www.flickr.com/photos/nickraider/17028062403/","Oliver Holzbauer","https://www.flickr.com/photos/nickraider/","CC-BY-SA-2.0"
"AMF","airlines_pictures/AMF.jpg","https://www.flickr.com/photos/wiltshirespotter/14087323382/","Pete Webber","https://www.flickr.com/photos/wiltshirespotter/","CC-BY-SA-2.0"
"AMU","airlines_pictures/AMU.jpg","https://www.flickr.com/photos/byeangel/18198401701/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"AMX","airlines_pictures/AMX.jpg","https://www.flickr.com/photos/eddie_m/2793807333/","Eddie Maloney","https://www.flickr.com/photos/eddie_m/","CC-BY-SA-2.0"
"ANA","airlines_pictures/ANA.jpg","https://www.flickr.com/photos/143492776@N05/49520990671/","Thomas Naas","https://www.flickr.com/photos/143492776@N05/","CC-BY-ND-2.0"
"ANE","airlines_pictures/ANE.jpg","https://www.flickr.com/photos/jbarcena/4830280925/","jbarcena","https://www.flickr.com/photos/jbarcena/","CC-BY-ND-2.0"
"ANG","airlines_pictures/ANG.jpg","https://www.flickr.com/photos/shebalso/267472289/","John","https://www.flickr.com/photos/shebalso/","CC-BY-SA-2.0"
"ANO","airlines_pictures/ANO.jpg","https://www.flickr.com/photos/130994353@N04/45147482725/","Ev Brown","https://www.flickr.com/photos/130994353@N04/","CC-BY-2.0"
"ANT","airlines_pictures/ANT.jpg","https://www.flickr.com/photos/airlines470/16563834443/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"ANZ","airlines_pictures/ANZ.jpg","https://www.flickr.com/photos/markyharky/35545489981/","Mark Harkin","https://www.flickr.com/photos/markyharky/","CC-BY-2.0"
"AOB","airlines_pictures/AOB.jpg","https://www.flickr.com/photos/aero_icarus/4704468255/","Aero Icarus","https://www.flickr.com/photos/aero_icarus/","CC-BY-SA-2.0"
"APF","airlines_pictures/APF.jpg","https://www.flickr.com/photos/kitmasterbloke/48042894136/","kitmasterbloke","https://www.flickr.com/photos/kitmasterbloke/","CC-BY-2.0"
"APJ","airlines_pictures/APJ.jpg","https://www.flickr.com/photos/fireballsg72/8112509382/","ken H","https://www.flickr.com/photos/fireballsg72/","CC-BY-SA-2.0"
"ARA","airlines_pictures/ARA.jpg","https://www.flickr.com/photos/levien66/3837271175/","Transport Pixels","https://www.flickr.com/photos/levien66/","CC-BY-SA-2.0"
"ARE","airlines_pictures/ARE.jpg","https://www.flickr.com/photos/nickraider/29364959531/","Oliver Holzbauer","https://www.flickr.com/photos/nickraider/","CC-BY-SA-2.0"
"ARG","airlines_pictures/ARG.jpg","https://www.flickr.com/photos/bribri/15203360984/","BriYYZ","https://www.flickr.com/photos/bribri/","CC-BY-SA-2.0"
"ASA","airlines_pictures/ASA.jpg","https://www.flickr.com/photos/cb-aviation-photography/43755606020/","Colin Brown Photography","https://www.flickr.com/photos/cb-aviation-photography/","CC-BY-2.0"
"ASL","airlines_pictures/ASL.jpg","https://www.flickr.com/photos/markyharky/35545496281/","Mark Harkin","https://www.flickr.com/photos/markyharky/","CC-BY-2.0"
"ASV","airlines_pictures/ASV.jpg","https://www.flickr.com/photos/129575161@N05/38550973151/","Masakatsu Ukon","https://www.flickr.com/photos/129575161@N05/","CC-BY-SA-2.0"
"ASY","airlines_pictures/ASY.jpg","https://www.flickr.com/photos/tomasdelcoro/32417920240/","Tomás Del Coro","https://www.flickr.com/photos/tomasdelcoro/","CC-BY-SA-2.0"
"ATC","airlines_pictures/ATC.jpg","https://www.flickr.com/photos/satransport/6855745239/","Bob Adams","https://www.flickr.com/photos/satransport/","CC-BY-SA-2.0"
"ATG","airlines_pictures/ATG.jpg","https://www.flickr.com/photos/130961247@N06/42491025640/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"ATL","airlines_pictures/ATL.jpg","https://www.flickr.com/photos/medau/13093241853/","Joao Carlos Medau","https://www.flickr.com/photos/medau/","CC-BY-2.0"
"ATX","airlines_pictures/ATX.jpg","https://www.flickr.com/photos/davidstanleytravel/48126812996/","David Stanley","https://www.flickr.com/photos/davidstanleytravel/","CC-BY-2.0"
"AUA","airlines_pictures/AUA.jpg","https://www.flickr.com/photos/riikkeary/49143589776/","Riik@mctr","https://www.flickr.com/photos/riikkeary/","CC-BY-SA-2.0"
"AUI","airlines_pictures/AUI.jpg","https://www.flickr.com/photos/airlines470/34500050723/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"AUL","airlines_pictures/AUL.jpg","https://www.flickr.com/photos/130961247@N06/49568239313/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"AUR","airlines_pictures/AUR.jpg","https://www.flickr.com/photos/ajw1970/20474227303/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"AUT","airlines_pictures/AUT.jpg","https://www.flickr.com/photos/armandolobos/8696899091/","alobos life","https://www.flickr.com/photos/armandolobos/","CC-BY-NC-ND-2.0"
"AVA","airlines_pictures/AVA.jpg","https://www.flickr.com/photos/bribri/5720690990/","BriYYZ","https://www.flickr.com/photos/bribri/","CC-BY-SA-2.0"
"AVN","airlines_pictures/AVN.jpg","https://www.flickr.com/photos/aero_icarus/7840669464/","Aero Icarus","https://www.flickr.com/photos/aero_icarus/","CC-BY-SA-2.0"
"AWC","airlines_pictures/AWC.jpg","https://www.flickr.com/photos/131806380@N05/36847460132/","Rob Hodgkins","https://www.flickr.com/photos/131806380@N05/","CC-BY-SA-2.0"
"AXB","airlines_pictures/AXB.jpg","https://www.flickr.com/photos/130961247@N06/49570155378/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"AXM","airlines_pictures/AXM.jpg","https://www.flickr.com/photos/byeangel/17131493806/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"AZA","airlines_pictures/AZA.jpg","https://www.flickr.com/photos/airlines470/24869064081/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"AZE","airlines_pictures/AZE.jpg","https://www.flickr.com/photos/awilson154/14224123925/","Alec Wilson","https://www.flickr.com/photos/awilson154/","CC-BY-SA-2.0"
"AZF","airlines_pictures/AZF.jpg","https://www.flickr.com/photos/131806380@N05/45889685052/","Rob Hodgkins","https://www.flickr.com/photos/131806380@N05/","CC-BY-SA-2.0"
"AZG","airlines_pictures/AZG.jpg","https://www.flickr.com/photos/130961247@N06/49568828491/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"AZQ","airlines_pictures/AZQ.jpg","https://www.flickr.com/photos/wiltshirespotter/14205970754/","Pete Webber","https://www.flickr.com/photos/wiltshirespotter/","CC-BY-SA-2.0"
"AZS","airlines_pictures/AZS.jpg","https://www.flickr.com/photos/34153108@N06/8012439888/","Gerard van der Schaaf","https://www.flickr.com/photos/34153108@N06/","CC-BY-2.0"
"AZU","airlines_pictures/AZU.jpg","https://www.flickr.com/photos/rafaelcanossa/31739584755/","Rafael Luiz Canossa","https://www.flickr.com/photos/rafaelcanossa/","CC-BY-SA-2.0"
"BAF","airlines_pictures/BAF.jpg","https://www.flickr.com/photos/ajw1970/31512705031/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"BAH","airlines_pictures/BAH.jpg","https://www.flickr.com/photos/122856104@N07/14036737072/","Greg Yablin","https://www.flickr.com/photos/122856104@N07/","CC-BY-2.0"
"BAV","airlines_pictures/BAV.jpg","https://www.flickr.com/photos/montoya711/49664824713/","Melvinnnnnnnnnnn (FN2187)","https://www.flickr.com/photos/montoya711/","CC-BY-SA-2.0"
"BAW","airlines_pictures/BAW.jpg","https://www.flickr.com/photos/lynothehammer/49408915823/","Steve Lynes","https://www.flickr.com/photos/lynothehammer/","CC-BY-2.0"
"BBB","airlines_pictures/BBB.jpg","https://www.flickr.com/photos/130961247@N06/49585694486/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"BBC","airlines_pictures/BBC.jpg","https://www.flickr.com/photos/ajw1970/10497235545/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"BBD","airlines_pictures/BBD.jpg","https://www.flickr.com/photos/130961247@N06/49585195788/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"BCI","airlines_pictures/BCI.jpg","https://www.flickr.com/photos/airlines470/16061985262/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"BCS","airlines_pictures/BCS.jpg","https://www.flickr.com/photos/33465428@N02/5397001404/","Dean Morley","https://www.flickr.com/photos/33465428@N02/","CC-BY-ND-2.0"
"BCY","airlines_pictures/BCY.jpg","https://www.flickr.com/photos/superjetinternational/27645277464/","SuperJet International","https://www.flickr.com/photos/superjetinternational/","CC-BY-SA-2.0"
"BDA","airlines_pictures/BDA.jpg","https://www.flickr.com/photos/awilson154/13988395491/","Alec Wilson","https://www.flickr.com/photos/awilson154/","CC-BY-SA-2.0"
"BDI","airlines_pictures/BDI.jpg","https://www.flickr.com/photos/16633132@N04/15059390326/","Ronnie Robertson","https://www.flickr.com/photos/16633132@N04/","CC-BY-SA-2.0"
"BEE","airlines_pictures/BEE.jpg","https://www.flickr.com/photos/allenthepostman/2698883915/","allen watkin","https://www.flickr.com/photos/allenthepostman/","CC-BY-SA-2.0"
"BEL","airlines_pictures/BEL.jpg","https://www.flickr.com/photos/ilce3000/24550348786/","Sony SLT-A57","https://www.flickr.com/photos/ilce3000/","CC-BY-2.0"
"BFL","airlines_pictures/BFL.jpg","https://www.flickr.com/photos/cooke1/8223460133/","Colin Cooke Photo","https://www.flickr.com/photos/cooke1/","CC-BY-ND-2.0"
"BGA","airlines_pictures/BGA.jpg","https://www.flickr.com/photos/bribri/28858044414/","BriYYZ","https://www.flickr.com/photos/bribri/","CC-BY-SA-2.0"
"BGH","airlines_pictures/BGH.jpg","https://www.flickr.com/photos/markyharky/29060041941/","Mark Harkin","https://www.flickr.com/photos/markyharky/","CC-BY-2.0"
"BHD","airlines_pictures/BHD.jpg","https://www.flickr.com/photos/awilson154/9200343720/","Alec Wilson","https://www.flickr.com/photos/awilson154/","CC-BY-SA-2.0"
"BHL","airlines_pictures/BHL.jpg","https://www.flickr.com/photos/awilson154/36348396091/","Alec Wilson","https://www.flickr.com/photos/awilson154/","CC-BY-SA-2.0"
"BHS","airlines_pictures/BHS.jpg","https://www.flickr.com/photos/airlines470/6859576364/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"BIH","airlines_pictures/BIH.jpg","https://www.flickr.com/photos/awilson154/11969324166/","Alec Wilson","https://www.flickr.com/photos/awilson154/","CC-BY-SA-2.0"
"BJN","airlines_pictures/BJN.jpg","https://www.flickr.com/photos/ajw1970/49066924287/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"BKP","airlines_pictures/BKP.jpg","https://www.flickr.com/photos/byeangel/13560478625/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"BLA","airlines_pictures/BLA.jpg","https://www.flickr.com/photos/ajw1970/42002704282/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"BOT","airlines_pictures/BOT.jpg","https://www.flickr.com/photos/44939325@N02/4319662518/","Maarten Visser","https://www.flickr.com/photos/44939325@N02/","CC-BY-SA-2.0"
"BOV","airlines_pictures/BOV.jpg","https://www.flickr.com/photos/150998205@N05/32287177245/","oliverspotter","https://www.flickr.com/photos/150998205@N05/","CC-BY-2.0"
"BOX","airlines_pictures/BOX.jpg","https://www.flickr.com/photos/bribri/8505841936/","BriYYZ","https://www.flickr.com/photos/bribri/","CC-BY-SA-2.0"
"BPA","airlines_pictures/BPA.jpg","https://www.flickr.com/photos/riikkeary/48940881518/","Riik@mctr","https://www.flickr.com/photos/riikkeary/","CC-BY-SA-2.0"
"BPO","airlines_pictures/BPO.jpg","https://www.flickr.com/photos/neuwieser/8475729923/","Neuwieser","https://www.flickr.com/photos/neuwieser/","CC-BY-SA-2.0"
"BRS","airlines_pictures/BRS.jpg","https://www.flickr.com/photos/lynothehammer/48948062247/","Steve Lynes","https://www.flickr.com/photos/lynothehammer/","CC-BY-2.0"
"BRU","airlines_pictures/BRU.jpg","https://www.flickr.com/photos/24056116@N07/2767474201/","Björn","https://www.flickr.com/photos/24056116@N07/","CC-BY-SA-2.0"
"BSK","airlines_pictures/BSK.jpg","https://www.flickr.com/photos/jonpsphotos/36170434652/","Jonathan Payne","https://www.flickr.com/photos/jonpsphotos/","CC-BY-SA-2.0"
"BTI","airlines_pictures/BTI.jpg","https://www.flickr.com/photos/130961247@N06/30465836278/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"BTK","airlines_pictures/BTK.jpg","https://www.flickr.com/photos/aceebee/47206774482/","aceebee","https://www.flickr.com/photos/aceebee/","CC-BY-SA-2.0"
"BUC","airlines_pictures/BUC.jpg","https://www.flickr.com/photos/fklebl/48598173767/","Florian Klebl","https://www.flickr.com/photos/fklebl/","CC-BY-ND-2.0"
"BUR","airlines_pictures/BUR.jpg","https://www.flickr.com/photos/airlines470/14630023842/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"BVL","airlines_pictures/BVL.jpg","https://www.flickr.com/photos/awilson154/27800844773/","Alec Wilson","https://www.flickr.com/photos/awilson154/","CC-BY-SA-2.0"
"BVT","airlines_pictures/BVT.jpg","https://www.flickr.com/photos/aero_icarus/6298578802/","Aero Icarus","https://www.flickr.com/photos/aero_icarus/","CC-BY-SA-2.0"
"BWA","airlines_pictures/BWA.jpg","https://www.flickr.com/photos/airlines470/49729994451/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"CAD","airlines_pictures/CAD.jpg","https://www.flickr.com/photos/sjbyles/8265963923/","Steven Byles","https://www.flickr.com/photos/sjbyles/","CC-BY-SA-2.0"
"CAI","airlines_pictures/CAI.jpg","https://www.flickr.com/photos/tomifulesi/44496545224/","Tomi Fülesi","https://www.flickr.com/photos/tomifulesi/","CC0-1.0"
"CAL","airlines_pictures/CAL.jpg","https://www.flickr.com/photos/nickraider/42512641081/","Oliver Holzbauer","https://www.flickr.com/photos/nickraider/","CC-BY-SA-2.0"
"CAO","airlines_pictures/CAO.jpg","https://www.flickr.com/photos/nickraider/22781827608/","Oliver Holzbauer","https://www.flickr.com/photos/nickraider/","CC-BY-SA-2.0"
"CAV","airlines_pictures/CAV.jpg","https://www.flickr.com/photos/cbweather/25224564055/","Alan Sim","https://www.flickr.com/photos/cbweather/","CC-BY-SA-2.0"
"CAY","airlines_pictures/CAY.jpg","https://www.flickr.com/photos/aero_icarus/6698021161/","Aero Icarus","https://www.flickr.com/photos/aero_icarus/","CC-BY-SA-2.0"
"CBJ","airlines_pictures/CBJ.jpg","https://www.flickr.com/photos/byeangel/8722117167/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"CBT","airlines_pictures/CBT.jpg","https://www.flickr.com/photos/as737700/2165192386/","Derin","https://www.flickr.com/photos/as737700/","CC-BY-ND-2.0"
"CCA","airlines_pictures/CCA.jpg","https://www.flickr.com/photos/cb-aviation-photography/31489461638/","Colin Brown Photography","https://www.flickr.com/photos/cb-aviation-photography/","CC-BY-2.0"
"CCD","airlines_pictures/CCD.jpg","https://www.flickr.com/photos/byeangel/16545949460/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"CCM","airlines_pictures/CCM.jpg","https://www.flickr.com/photos/ajw1970/49744176177/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"CDC","airlines_pictures/CDC.jpg","https://www.flickr.com/photos/montoya711/47484433821/","Melvinnnnnnnnnnn (FN2187)","https://www.flickr.com/photos/montoya711/","CC-BY-SA-2.0"
"CDG","airlines_pictures/CDG.jpg","https://www.flickr.com/photos/byeangel/17500695954/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"CEB","airlines_pictures/CEB.jpg","https://www.flickr.com/photos/ajw1970/48301460312/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"CEF","airlines_pictures/CEF.jpg","https://www.flickr.com/photos/130961247@N06/41702225181/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"CEH","airlines_pictures/CEH.jpg","https://www.flickr.com/photos/awilson154/29602735333/","Alec Wilson","https://www.flickr.com/photos/awilson154/","CC-BY-SA-2.0"
"CES","airlines_pictures/CES.jpg","https://www.flickr.com/photos/byeangel/15090788401/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"CEV","airlines_pictures/CEV.jpg","https://www.flickr.com/photos/dylan33/28562471476/","Dylan Agbagni","https://www.flickr.com/photos/dylan33/","CC0-1.0"
"CFC","airlines_pictures/CFC.jpg","https://www.flickr.com/photos/my_public_domain_photos/46731995632/","Robert Sullivan","https://www.flickr.com/photos/my_public_domain_photos/","CC0-1.0"
"CFE","airlines_pictures/CFE.jpg","https://www.flickr.com/photos/130961247@N06/16270799477/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"CFG","airlines_pictures/CFG.jpg","https://www.flickr.com/photos/nickraider/33090824426/","Oliver Holzbauer","https://www.flickr.com/photos/nickraider/","CC-BY-SA-2.0"
"CHB","airlines_pictures/CHB.jpg","https://www.flickr.com/photos/131806380@N05/27230654877/","Rob Hodgkins","https://www.flickr.com/photos/131806380@N05/","CC-BY-SA-2.0"
"CHH","airlines_pictures/CHH.jpg","https://www.flickr.com/photos/byeangel/16526378612/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"CIG","airlines_pictures/CIG.jpg","https://www.flickr.com/photos/130961247@N06/32789712918/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"CJT","airlines_pictures/CJT.jpg","https://www.flickr.com/photos/bribri/24548882684/","BriYYZ","https://www.flickr.com/photos/bribri/","CC-BY-SA-2.0"
"CKK","airlines_pictures/CKK.jpg","https://www.flickr.com/photos/cb-aviation-photography/44858134564/","Colin Brown Photography","https://www.flickr.com/photos/cb-aviation-photography/","CC-BY-2.0"
"CKS","airlines_pictures/CKS.jpg","https://www.flickr.com/photos/billywilt/7492675342/","Bill Wilt","https://www.flickr.com/photos/billywilt/","CC-BY-ND-2.0"
"CLG","airlines_pictures/CLG.jpg","https://www.flickr.com/photos/ajw1970/49802365853/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"CLH","airlines_pictures/CLH.jpg","https://www.flickr.com/photos/bagalute/15376277601/","Bjoern Schwarz","https://www.flickr.com/photos/bagalute/","CC-BY-2.0"
"CLX","airlines_pictures/CLX.jpg","https://www.flickr.com/photos/24056116@N07/4709553459/","Björn","https://www.flickr.com/photos/24056116@N07/","CC-BY-SA-2.0"
